Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction,attendDuration1,attendDuration2,attendDuration3,attendPercent1,attendPercent2,attendPercent3,lengthOfStay1,lengthOfStay2,lengthOfStay3
2020-02-24,128.300003,130.419998,128.139999,129.669998,45770900,124.674363,123.3716821,126.1116665,128.8516508,Increasing,335,351,366,75,89,21,537,29,115
2020-02-28,130.490005,130.630005,129.229996,130.279999,44525900,125.260863,123.3764705,126.4186666,129.4608626,Decreasing,109,487,181,25,10,82,537,292,162
2020-10-27,132.309998,133.130005,131.149994,132.649994,96954200,127.539552,123.128271,126.8531664,130.5780619,Increasing,8,314,280,100,83,36,24,469,424
2019-10-30,134.460007,134.539993,129.570007,130.559998,118924000,125.530074,122.9533691,127.1514997,131.3496302,Decreasing,35,419,131,100,10,73,45,123,538
2020-09-16,130.160004,131.589996,128.300003,128.639999,63386100,123.684046,123.165847,127.372333,131.578819,Decreasing,129,493,268,100,87,52,136,422,484
2019-07-18,128.639999,128.639999,124.580002,125.150002,83195400,120.328503,123.4832179,127.4706663,131.4581147,Decreasing,67,160,43,100,39,65,75,144,100
2020-06-19,126.099998,130.130005,125.300003,128.949997,58512600,123.9821,123.7928685,127.6258331,131.4587977,Increasing,4,313,409,49,52,56,86,507,460
2020-06-19,129.5,130.570007,128.259995,128.699997,50988300,123.741732,123.9186426,127.764833,131.6110235,Decreasing,1,428,74,51,36,46,86,67,100
2020-06-19,128.149994,128.449997,125.779999,125.800003,49271400,120.953462,123.91582,127.7634997,131.6111794,Decreasing,0,253,399,49,61,24,86,347,6
2020-06-21,126.559998,126.75,123.360001,125.010002,72141000,120.193897,123.8088193,127.7326664,131.6565135,Decreasing,45,75,349,51,72,81,86,477,477
2020-06-22,124.769997,126.080002,124.019997,125.260002,43940900,120.93733,123.6785663,127.6919997,131.705433,Increasing,41,152,420,49,70,79,86,537,62
2020-06-09,126.68,127.620003,126.110001,127.620003,55550400,123.215888,123.7345408,127.7216665,131.7087922,Increasing,87,462,73,95,98,53,95,281,540
2020-06-09,127.389999,127.559998,125.629997,126.32,42035800,121.960747,123.6599205,127.6796663,131.6994121,Decreasing,5,427,177,5,90,86,95,125,445
2020-08-18,125.599998,126.879997,124.82,125.870003,48160000,121.526279,123.5804905,127.6474995,131.7145084,Increasing,189,328,229,100,46,54,195,10,240
2020-02-18,126.150002,127.190002,125.870003,126.010002,34694200,121.661447,123.5504423,127.633333,131.7162236,Decreasing,173,306,496,68,46,71,267,275,453
2020-02-21,127.410004,128.949997,127.160004,128.949997,45203500,124.499984,123.6706007,127.7279997,131.7853986,Increasing,81,126,116,32,46,54,267,145,382
2019-08-25,129.070007,129.490005,128.210007,128.770004,38208000,124.326203,124.0144574,127.9133333,131.8122092,Decreasing,29,16,25,100,74,5,43,378,19
2020-06-10,128.380005,130.720001,128.360001,130.190002,50882900,125.697198,124.100497,128.0530002,132.0055033,Increasing,4,494,474,100,22,52,8309,324,124
2019-03-04,130.690002,130.880005,129.639999,130.070007,44633200,125.581344,124.1588765,128.1998337,132.2407909,Decreasing,84,19,363,100,77,96,95,186,330
2019-10-13,130,130.979996,129.339996,130.059998,36454900,125.571679,124.1850087,128.3093337,132.4336587,Increasing,91,328,324,100,49,98,97,520,26
2019-07-12,130.070007,131.630005,129.830002,131.389999,39730400,126.855783,124.1273816,128.3863339,132.6452861,Increasing,229,51,248,100,93,97,235,524,315
2020-03-20,131.600006,132.970001,131.399994,132.539993,45596000,127.966091,123.9598963,128.499167,133.0384377,Increasing,264,99,72,100,59,85,269,117,137
2020-02-10,132.600006,132.910004,129.119995,129.619995,70697600,125.146861,124.1087609,128.411167,132.7135731,Decreasing,324,237,349,77,94,1,770,134,106
2020-02-28,130.339996,132.259995,130.050003,132.039993,45833200,127.483346,124.1188009,128.4058336,132.6928663,Increasing,98,236,299,23,47,74,770,456,16
2019-08-30,131.860001,131.949997,131.100006,131.779999,30733300,127.232324,124.0226213,128.5108337,132.999046,Decreasing,95,351,388,100,1,2,105,519,362
2019-09-23,131.229996,131.449997,129.899994,130.279999,50884500,125.784088,124.300709,128.7318334,133.1629579,Decreasing,152,401,302,46,44,100,338,384,82
2019-09-30,130.279999,131.389999,130.050003,130.539993,32112800,126.03511,124.3594994,128.8584999,133.3575004,Increasing,178,345,476,54,26,57,338,14,271
2020-03-09,129.860001,130.660004,129.320007,129.960007,33667600,125.475139,124.3747459,128.8986669,133.4225879,Increasing,336,54,201,65,37,9,582,435,546
2020-03-16,130.660004,130.940002,129.899994,130.119995,30889400,125.629606,124.6367699,129.0808335,133.524897,Decreasing,178,10,35,35,15,98,582,106,201
2020-01-19,129.580002,130.580002,128.910004,129.360001,38450100,124.895839,125.2683798,129.3096669,133.3509539,Decreasing,1,443,270,1,26,11,118,497,277
2020-01-24,129.5,129.690002,128.360001,128.649994,35626800,124.210334,125.9332746,129.4986668,133.064059,Decreasing,114,251,443,99,15,2,118,47,125
2020-12-13,128.899994,129.210007,126.830002,127.800003,52674800,123.389676,126.0685551,129.5401669,133.0117786,Decreasing,79,206,250,100,90,86,90,61,312
2019-06-23,126.699997,128.080002,125.620003,127.419998,56075400,123.022785,126.1824915,129.5670003,132.9515092,Increasing,38,12,309,100,61,69,47,363,464
2019-01-25,127.919998,129.339996,127.849998,128.880005,39087300,124.432408,126.7463818,129.708667,132.6709521,Increasing,2,148,434,70,66,28,117,444,382
2019-01-28,129.179993,130.179993,128.479996,128.589996,35390900,124.152407,127.2892578,129.845,132.4007421,Decreasing,71,131,385,70,52,33,117,322,147
2019-01-29,128.190002,128.330002,127.110001,127.169998,36886200,122.781413,127.131001,129.8041667,132.4773323,Decreasing,31,454,166,30,59,93,117,131,412
2019-02-09,126.099998,127.239998,125.709999,126.919998,43988900,122.54004,126.7060981,129.6941663,132.6822346,Increasing,1,377,289,0,49,1,741,51,350
2019-02-25,127.029999,127.849998,126.370003,127.599998,31494100,123.196574,126.4016896,129.5699996,132.7383095,Increasing,329,160,418,48,37,72,741,541,249
2019-03-11,127.720001,127.879997,126.739998,127.300003,32918100,122.906931,126.1238847,129.4254994,132.727114,Decreasing,336,361,414,49,25,11,741,84,116
2019-03-12,127.230003,128.309998,127.220001,127.879997,35407200,123.46691,125.9515598,129.3093328,132.6671058,Increasing,26,340,330,4,44,22,741,210,214
2019-03-24,127.709999,127.82,126.400002,126.599998,54716900,122.231083,125.6885656,129.1088327,132.5290998,Decreasing,9,159,225,6,74,63,152,152,301
2019-03-25,127.489998,128.059998,127.080002,127.610001,34039300,123.206231,125.7264205,128.8728329,132.0192453,Increasing,30,283,271,21,54,23,152,494,485
2019-03-29,127.480003,127.610001,126.879997,127.029999,30268900,122.646244,125.5733485,128.7039996,131.8346507,Decreasing,104,500,177,73,30,36,152,53,227
2019-11-09,127.209999,129.800003,127.120003,128.110001,55280900,123.688976,125.6811976,128.5486666,131.4161355,Increasing,7,317,352,50,5,98,285,509,178
2019-11-12,128.860001,129.199997,127.5,127.5,31938100,123.100026,125.8677152,128.3714998,130.8752844,Decreasing,84,348,347,30,70,71,285,545,180
2019-11-18,127.669998,127.989998,126.510002,126.75,44066800,122.375908,125.8452624,128.1985,130.5517375,Decreasing,134,253,112,50,21,84,285,70,503
2019-11-20,125.459999,126.470001,124.480003,124.529999,49161400,120.232518,125.5007067,127.9235001,130.3462935,Decreasing,55,426,281,20,45,41,285,315,88
2019-07-16,125.57,126.120003,124.860001,125.43,44370700,121.101461,125.2434909,127.6979999,130.1525088,Decreasing,27,5,183,100,24,29,53,476,375
2019-12-06,126.900002,126.940002,125.989998,126.599998,30238800,122.231083,125.319636,127.5075,129.6953639,Decreasing,2,159,236,44,28,78,433,313,249
2019-12-16,126.43,126.690002,125.769997,126.440002,27211000,122.076609,125.3221027,127.3416666,129.3612304,Increasing,157,472,381,44,66,94,433,355,409
2019-12-24,124.940002,126.230003,124.849998,126,28060400,121.65179,125.172968,127.1813333,129.1896986,Increasing,202,482,50,56,71,56,433,398,511
2020-01-02,125.889999,126.150002,123.769997,125.690002,46946800,121.352491,124.8939059,127.0441664,129.194427,Decreasing,2,219,133,2,67,18,138,154,476
2020-01-07,124.480003,124.639999,122.540001,122.57,60761600,118.340158,124.1418974,126.8546664,129.5674354,Decreasing,127,314,331,98,24,8,138,296,74
2020-03-09,123.849998,124.059998,119.220001,120.07,77821600,115.926432,122.9127426,126.4759997,130.0392568,Decreasing,71,123,276,100,74,49,116,7,305
2019-04-29,121.940002,123.849998,121.209999,123.279999,61354500,119.025655,122.4632754,126.1608332,129.8583911,Increasing,24,289,466,100,62,60,30,52,57
2020-06-26,125.029999,125.760002,124.32,125.660004,41440500,121.323527,122.3846331,126.0463333,129.7080335,Increasing,105,136,383,100,46,11,116,36,507
2019-07-22,126.040001,126.370003,125.040001,125.610001,31768100,121.27525,122.343664,125.9988335,129.6540029,Decreasing,38,381,50,100,36,69,75,61,468
2020-02-03,125.720001,127.150002,125.580002,126.82,33649200,122.443492,122.3439159,125.9610002,129.5780846,Increasing,50,468,11,100,53,75,60,219,110
2019-02-01,127.739998,128.570007,127.349998,128.509995,36222400,124.075166,122.3059902,126.0028336,129.699677,Increasing,117,348,203,20,2,8,893,253,493
2019-02-11,129.080002,129.619995,128.309998,129.619995,46164700,125.146861,122.1959647,126.0718335,129.9477023,Increasing,156,78,77,27,34,86,893,23,86
2019-02-20,130.970001,132.970001,130.699997,132.070007,58900200,127.512324,121.6892041,126.3205002,130.9517963,Increasing,222,119,123,38,58,22,893,72,476
2019-02-22,132.850006,132.919998,130.320007,130.75,76756400,126.23787,121.4079709,126.5078336,131.6076963,Decreasing,46,61,108,16,60,37,893,271,332
2019-02-22,121.989998,125.5,121.989998,125.220001,115450600,120.898709,121.1778138,126.3610003,131.5441868,Increasing,46,477,293,16,83,63,893,367,401
2019-10-11,126.199997,127.089996,125.059998,125.160004,50999500,120.840782,121.1251692,126.2323335,131.3394978,Decreasing,13,348,16,100,97,66,22,428,21
2019-01-30,125.32,125.739998,123.900002,124.5,42162300,120.203555,120.989315,126.0646669,131.1400187,Decreasing,27,313,425,100,31,10,36,216,173
2020-02-24,123.089996,123.610001,122.120003,122.769997,44455500,118.533253,120.6120011,125.8521669,131.0923327,Decreasing,1,223,287,100,98,87,70,136,54
2019-10-28,123.379997,123.910004,122.550003,123.379997,33618100,119.122203,120.4054683,125.7581669,131.1108655,Increasing,68,342,200,100,38,16,247,58,127
2019-11-15,123.150002,123.5,122.269997,122.989998,37011700,118.745662,120.1369622,125.6306668,131.1243713,Decreasing,228,81,117,100,78,74,239,157,399
2019-05-17,122.32,122.57,121.709999,122.370003,33628300,118.147063,119.7438845,125.4160002,131.0881158,Increasing,105,12,220,100,44,6,110,379,71
2020-01-14,122.599998,122.639999,120.910004,121.300003,42885000,117.113989,119.2924998,125.1818336,131.0711674,Decreasing,8,196,91,100,46,57,19,371,213
2019-11-13,121.5,122.57,117.519997,118.440002,69976000,114.352685,118.4943027,124.8726669,131.2510311,Decreasing,17,198,157,100,41,66,24,277,365
2019-11-29,117.419998,117.699997,113.25,114.639999,124138600,110.683819,116.7313042,124.3723335,132.0133628,Decreasing,124,5,206,100,32,98,131,341,470
2020-08-13,112.949997,117.440002,112.099998,115.400002,99312600,111.417594,115.2932316,123.9588335,132.6244354,Increasing,2,99,402,67,18,93,199,432,407
2020-08-14,115.970001,116.5,114.120003,115.129997,52903000,111.66005,114.2686043,123.6655002,133.0623961,Decreasing,22,402,157,33,39,61,199,334,308
2020-08-21,114.580002,116.25,114.5,115.519997,38670400,112.038295,113.2383284,123.2976669,133.3570053,Increasing,43,123,289,67,35,88,199,350,31
2020-02-07,116.529999,119.989998,116.529999,119.720001,54951600,116.111714,112.7672569,122.9726667,133.1780766,Increasing,82,482,47,100,38,98,89,184,80
2020-12-11,117.809998,118.18,113.330002,113.489998,97082800,110.069479,111.7495121,122.439,133.1284878,Decreasing,93,462,472,100,25,3,97,207,510
2020-07-29,112.529999,115.419998,109.629997,115.239998,101217500,111.766735,110.5837964,121.7846665,132.9855365,Increasing,16,358,149,100,16,33,22,522,413
2020-05-07,116.040001,116.400002,114.540001,115.150002,48535800,111.679451,110.0107495,121.1456666,132.2805836,Decreasing,5,43,204,100,58,71,171,281,302
2020-01-02,114.32,116.309998,114.010002,115.959999,42929500,112.465036,109.7007656,120.4578334,131.2149012,Increasing,250,410,457,89,82,11,286,141,21
2020-01-03,116.040001,117.650002,115.5,117.160004,40884700,113.628873,110.2193367,119.7006668,129.1819968,Increasing,32,461,67,11,8,33,286,205,180
2019-01-05,116.43,117.440002,116.010002,116.5,34560700,112.988761,111.057582,118.9666667,126.8757514,Increasing,62,31,194,100,39,70,64,197,463
2020-05-04,116.099998,116.519997,114.68,115.010002,47445700,111.543671,110.8596081,118.5250001,126.190392,Decreasing,78,477,437,86,59,21,141,357,71
2020-05-04,114.080002,114.349998,111.629997,112.650002,68501600,109.2548,110.6016943,117.8803334,125.1589724,Decreasing,1,129,459,1,88,14,141,169,82
2020-05-04,110.43,111.900002,105.650002,105.760002,128275500,102.572461,109.2092545,117.0331668,124.8570791,Decreasing,12,446,282,13,9,45,141,437,72
2020-05-05,94.870003,108.800003,92,103.120003,162206300,100.012029,105.9911026,115.9568336,125.9225645,Increasing,0,111,240,13,29,12,141,82,490
2019-06-04,111.110001,111.110001,103.5,103.739998,103601600,100.613338,104.8512275,115.0986668,125.3461062,Decreasing,64,254,390,100,95,92,70,424,169
2019-09-30,107.089996,109.889999,105.050003,109.690002,96774600,106.384013,104.3580548,114.363167,124.3682792,Increasing,138,466,319,100,46,50,147,13,435
2019-01-22,112.230003,113.239998,110.019997,112.919998,84616100,109.516659,104.4853754,113.8553335,123.2252916,Increasing,135,95,271,100,88,92,146,23,157
2020-10-19,112.169998,113.309998,111.540001,113.290001,53164400,109.87551,104.7374169,113.4101667,122.0829165,Increasing,43,148,177,57,76,51,81,157,479
2020-10-20,112.029999,114.529999,112,112.760002,56229300,109.361485,104.8807642,113.0895001,121.298236,Increasing,32,365,214,43,13,48,81,165,28
2020-11-05,110.150002,111.879997,107.360001,107.720001,76845900,104.473386,104.4437543,112.7790001,121.114246,Decreasing,4,90,319,5,21,27,382,259,12
2020-11-06,110.230003,112.339996,109.129997,112.339996,61888800,108.954138,104.2974032,112.5934999,120.8895966,Increasing,31,309,488,24,2,3,382,522,422
2020-11-16,112.489998,112.779999,110.040001,110.370003,53233900,107.043519,104.1557511,112.3841666,120.6125821,Decreasing,3,445,165,5,43,7,382,269,245
2020-11-20,108.970001,110.449997,108.510002,109.269997,49996300,105.976666,103.8818508,112.0835,120.2851491,Increasing,93,319,229,71,49,3,382,186,238
2020-11-30,111.75,112.559998,110.32,112.309998,54843600,108.925043,104.1221378,111.7326666,119.3431954,Increasing,145,13,368,58,44,88,267,400,213
2020-12-04,113.760002,114.019997,109.769997,110.150002,85010800,106.830148,104.0861412,111.5483332,119.0105251,Decreasing,103,43,46,42,10,51,267,342,487
2019-08-19,110.269997,113.279999,109.900002,112.57,62892800,109.177209,104.0577891,111.4726667,118.8875442,Increasing,125,391,378,100,53,63,136,368,71
2020-11-24,111.790001,114.209999,111.760002,114.209999,49915500,110.76778,104.1180015,111.3741666,118.6303316,Increasing,157,40,449,100,36,61,166,437,448
2019-02-28,116.580002,116.889999,114.860001,115.309998,58363400,111.834625,104.1011364,111.3871666,118.6731967,Decreasing,67,24,487,100,98,63,76,484,512
2019-06-28,115.93,116.529999,114.419998,116.279999,43341200,112.775391,104.1890893,111.3358331,118.4825768,Increasing,24,276,371,21,9,72,177,175,154
2019-07-01,116.25,116.540001,115.440002,116.410004,37173500,112.901478,104.2372114,111.3098331,118.3824548,Increasing,65,94,357,79,47,4,177,34,450
2019-07-04,115.660004,116.489998,113.720001,113.919998,64112600,110.486519,104.2767346,111.2751664,118.2735982,Decreasing,26,394,478,79,78,75,177,293,71
2020-05-08,112.209999,114.300003,111.870003,113.449997,74285300,110.030684,104.2766727,111.2916665,118.3066603,Increasing,103,499,23,100,22,10,159,390,406
2020-12-23,113.669998,115.370003,113.660004,115.209999,50222000,111.73764,104.666951,111.6404998,118.6140487,Increasing,40,14,426,100,61,27,42,271,317
2019-02-14,113.379997,114.18,112.519997,113.400002,50346200,109.982195,107.1040188,112.2434997,117.3829807,Increasing,20,290,361,100,59,50,28,295,380
2019-03-07,113.629997,114.720001,113.300003,114.32,35756700,110.874465,108.2882859,112.6433331,116.9983804,Increasing,57,333,493,100,38,72,65,492,345
2019-06-15,113.25,115.5,112.370003,115,50219500,111.533971,109.0475652,112.9473331,116.847101,Increasing,69,393,378,100,27,43,73,438,185
2020-06-25,116.440002,116.690002,114.019997,114.709999,56151900,111.25271,109.1116704,113.1013332,117.090996,Decreasing,67,57,318,100,74,95,74,507,62
2020-10-13,113.849998,114.57,112.440002,112.440002,52109000,109.05113,109.1374587,113.1231666,117.1088745,Decreasing,78,14,216,100,16,21,86,290,329
2019-01-06,112.830002,113.510002,107.860001,109.059998,73365400,105.772996,108.7833184,112.9754999,117.1676815,Decreasing,49,151,18,100,93,95,60,526,521
2020-07-27,110.169998,111.540001,108.730003,110.300003,66473000,106.975629,109.0444831,113.0356667,117.0268504,Increasing,247,402,163,37,86,32,670,444,359
2020-08-10,109.07,109.620003,107.309998,109.580002,63929100,106.277328,108.5812026,112.9140003,117.246798,Increasing,338,294,466,62,68,24,670,365,263
2020-08-10,108.010002,111.010002,107.550003,110.379997,58019800,107.053212,108.3483737,112.843167,117.3379602,Increasing,1,359,227,0,2,5,670,336,184
2020-08-13,109.879997,111.370003,109.07,110.779999,52064700,107.441158,108.5314398,112.8930004,117.2545609,Increasing,73,310,473,62,69,46,670,358,349
2019-01-28,110.629997,111.739998,109.769997,111.309998,48196800,107.955183,108.4365671,112.8535003,117.2704335,Increasing,61,378,19,37,63,94,170,262,102
2019-02-01,111.739998,111.769997,109.410004,110.779999,46765600,107.441158,108.3485136,112.8205004,117.2924872,Decreasing,102,450,348,63,96,29,170,59,75
2019-07-18,110.190002,110.190002,108.209999,109.5,61979600,106.199737,107.9731432,112.6896671,117.406191,Decreasing,74,373,19,100,36,66,327,60,204
2019-10-11,110,112.279999,109.489998,112.120003,52766100,108.740775,107.8423978,112.5848337,117.3272697,Increasing,10,37,166,100,76,78,13,324,260
2020-06-10,112.730003,112.75,111.440002,111.599998,30467200,108.236443,107.8680865,112.3970004,116.9259144,Decreasing,13,392,421,100,61,71,23,528,94
2019-01-27,110.82,112.449997,110.68,111.790001,33049300,108.420719,107.9236127,112.1918338,116.4600549,Increasing,22,145,1,100,2,81,311,519,207
2019-02-07,111.290001,111.519997,109.559998,110.209999,44462400,106.888337,107.9810483,111.9068336,115.8326188,Decreasing,168,219,104,100,1,28,311,173,536
2020-08-27,110.93,112.099998,110.489998,111.860001,37673500,108.488609,108.0344358,111.7455003,115.4565647,Increasing,9,466,133,100,73,26,16,387,528
2020-04-20,111.779999,112,110.529999,111.040001,39232600,107.693323,107.9887068,111.6446669,115.3006269,Decreasing,0,435,340,0,35,27,177,425,64
2020-04-27,110.800003,111.75,110.110001,111.730003,29759200,108.36253,108.0973483,111.4671668,114.8369853,Increasing,171,94,299,100,97,30,177,532,416
2019-10-03,111.339996,114.169998,110.82,113.769997,48778800,110.341039,108.1200469,111.4448334,114.76962,Increasing,0,103,291,20,43,15,371,112,404
2019-10-03,114,115.580002,113.699997,113.760002,41795200,110.331345,108.0929292,111.4565001,114.8200709,Decreasing,6,317,98,21,52,75,371,154,390
2019-10-07,114.330002,115.5,114.099998,115.5,41654100,112.018901,107.9920835,111.4936666,114.9952498,Increasing,91,499,244,20,100,85,371,22,249
2019-10-07,116.699997,119.230003,116.330002,119.080002,59366900,115.491004,107.341724,111.6473335,115.9529429,Increasing,89,133,307,21,88,30,371,470,69
2019-10-18,118.080002,118.129997,114.919998,115.279999,66333800,111.80553,107.1068229,111.7953333,116.4838437,Decreasing,268,269,476,59,56,51,371,34,167
2019-12-15,115.400002,116.540001,113.989998,114.550003,69884400,111.097536,107.2139281,112.0395,116.8650718,Decreasing,19,323,308,100,82,74,100,112,363
2020-04-01,116.93,119.300003,116.059998,119.269997,85551400,115.675272,107.0023178,112.4404998,117.8786819,Increasing,102,202,19,98,98,69,165,118,229
2020-04-02,118.699997,120.690002,118.269997,120.529999,51227300,116.897299,106.9330458,112.9901664,119.047287,Increasing,3,415,396,2,64,19,165,87,180
