Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2019-06-09,43,67,37,65,25524600,331,366,126.0235002,53,Decreasing
2019-06-10,83,40,49,52,28970400,252,391,126.0220001,27,Increasing
2019-06-11,73,14,90,125,28369000,456,486,125.945,108,Decreasing
2019-06-12,19,91,73,306,51957000,199,134,125.7983332,457,Decreasing
2019-06-13,99,50,49,410,47054300,84,225,125.8221664,328,Increasing
2019-06-14,78,75,94,193,32435100,458,397,125.8254998,230,Decreasing
2019-06-15,36,31,85,22,37654500,106,456,125.8674998,138,Increasing
2019-06-16,28,88,51,95,45770900,320,348,126.1116665,174,Increasing
2019-06-17,2,74,4,101,44525900,204,76,126.4186666,351,Decreasing
2019-06-18,65,92,24,284,96954200,435,53,126.8531664,428,Increasing
2019-06-19,11,92,46,147,118924000,54,134,127.1514997,62,Decreasing
2019-06-20,62,13,100,494,63386100,497,351,127.372333,277,Decreasing
2019-06-21,29,50,92,200,83195400,341,279,127.4706663,329,Decreasing
2019-06-22,92,12,82,468,58512600,262,370,127.6258331,324,Increasing
2019-06-23,87,30,87,178,50988300,475,6,127.764833,415,Decreasing
2019-06-24,6,29,90,467,49271400,455,318,127.7634997,242,Decreasing
2019-06-25,39,12,91,140,72141000,120,323,127.7326664,390,Decreasing
2019-06-26,44,63,38,118,43940900,487,27,127.6919997,35,Increasing
2019-06-27,35,42,13,104,55550400,495,312,127.7216665,311,Increasing
2019-06-28,30,73,5,453,42035800,135,201,127.6796663,286,Decreasing
2019-06-29,20,48,67,374,48160000,316,356,127.6474995,271,Increasing
2019-06-30,94,30,46,461,34694200,168,259,127.633333,88,Decreasing
2019-07-01,35,69,51,133,45203500,381,193,127.7279997,87,Increasing
2019-07-02,58,64,41,87,38208000,131,202,127.9133333,164,Decreasing
2019-07-03,53,80,2,492,50882900,242,94,128.0530002,34,Increasing
2019-07-04,76,17,85,83,44633200,331,464,128.1998337,476,Decreasing
2019-07-05,21,30,91,188,36454900,78,308,128.3093337,210,Increasing
2019-07-06,63,38,46,308,39730400,364,101,128.3863339,21,Increasing
2019-07-07,17,4,70,406,45596000,334,46,128.499167,283,Increasing
2019-07-08,71,1,78,344,70697600,148,422,128.411167,456,Decreasing
2019-07-09,100,27,1,45,45833200,81,166,128.4058336,317,Increasing
2019-07-10,36,10,17,236,30733300,52,65,128.5108337,178,Decreasing
2019-07-11,56,11,59,361,50884500,295,264,128.7318334,108,Decreasing
2019-07-12,49,47,9,355,32112800,120,46,128.8584999,270,Increasing
2019-07-13,81,2,55,328,33667600,173,436,128.8986669,333,Increasing
2019-07-14,5,18,3,91,30889400,391,411,129.0808335,212,Decreasing
2019-07-15,34,51,62,36,38450100,218,198,129.3096669,242,Decreasing
2019-07-16,64,78,52,51,35626800,181,80,129.4986668,354,Decreasing
2019-07-17,52,96,65,54,52674800,260,71,129.5401669,157,Decreasing
2019-07-18,8,98,89,388,56075400,232,251,129.5670003,186,Increasing
2019-07-19,97,52,74,180,39087300,250,187,129.708667,283,Increasing
2019-07-20,94,78,68,444,35390900,117,204,129.845,3,Decreasing
2019-07-21,48,85,98,181,36886200,9,306,129.8041667,193,Decreasing
2019-07-22,54,98,8,171,43988900,397,308,129.6941663,255,Increasing
2019-07-23,53,53,43,236,31494100,174,363,129.5699996,114,Increasing
2019-07-24,9,33,26,53,32918100,367,297,129.4254994,148,Decreasing
2019-07-25,96,85,85,19,35407200,290,306,129.3093328,155,Increasing
2019-07-26,75,15,66,406,54716900,25,275,129.1088327,432,Decreasing
2019-07-27,43,86,13,218,34039300,480,217,128.8728329,100,Increasing
2019-07-28,16,86,21,37,30268900,272,73,128.7039996,362,Decreasing
2019-07-29,62,36,79,319,55280900,390,425,128.5486666,258,Increasing
2019-07-30,20,95,84,460,31938100,409,213,128.3714998,274,Decreasing
2019-07-31,45,54,95,429,44066800,69,464,128.1985,99,Decreasing
2019-08-01,95,80,66,453,49161400,155,275,127.9235001,8,Decreasing
2019-08-02,88,33,11,66,44370700,43,92,127.6979999,329,Decreasing
2019-08-03,53,99,34,95,30238800,423,149,127.5075,490,Decreasing
2019-08-04,86,18,16,399,27211000,356,40,127.3416666,128,Increasing
2019-08-05,57,29,75,95,28060400,465,12,127.1813333,364,Increasing
2019-08-06,98,96,24,244,46946800,146,127,127.0441664,103,Decreasing
2019-08-07,76,19,14,29,60761600,97,67,126.8546664,476,Decreasing
2019-08-08,57,52,99,198,77821600,178,482,126.4759997,438,Decreasing
2019-08-09,29,40,55,325,61354500,417,138,126.1608332,63,Increasing
2019-08-10,71,99,24,244,41440500,370,237,126.0463333,255,Increasing
2019-08-11,88,28,6,311,31768100,225,427,125.9988335,422,Decreasing
2019-08-12,77,23,44,39,33649200,23,28,125.9610002,245,Increasing
2019-08-13,96,1,53,368,36222400,203,211,126.0028336,218,Increasing
2019-08-14,28,44,68,4,46164700,191,142,126.0718335,155,Increasing
2019-08-15,90,54,71,83,58900200,438,386,126.3205002,462,Increasing
2019-08-16,16,39,79,96,76756400,84,9,126.5078336,446,Decreasing
2019-08-17,35,14,86,115,115450600,256,152,126.3610003,267,Increasing
2019-08-18,94,31,1,167,50999500,114,398,126.2323335,27,Decreasing
2019-08-19,65,79,27,432,42162300,279,7,126.0646669,80,Decreasing
2019-08-20,34,34,17,275,44455500,488,456,125.8521669,325,Decreasing
2019-08-21,93,11,59,13,33618100,283,361,125.7581669,176,Increasing
2019-08-22,95,18,39,41,37011700,461,29,125.6306668,264,Decreasing
2019-08-23,86,41,42,125,33628300,290,193,125.4160002,380,Increasing
2019-08-24,58,40,43,259,42885000,322,157,125.1818336,366,Decreasing
2019-08-25,97,1,74,273,69976000,314,332,124.8726669,434,Decreasing
2019-08-26,79,79,9,55,124138600,318,136,124.3723335,47,Decreasing
2019-08-27,96,56,55,292,99312600,418,378,123.9588335,160,Increasing
2019-08-28,96,53,15,106,52903000,310,377,123.6655002,331,Decreasing
2019-08-29,19,67,91,342,38670400,343,398,123.2976669,470,Increasing
2019-08-30,15,43,2,207,54951600,491,74,122.9726667,64,Increasing
2019-08-31,90,20,16,429,97082800,431,256,122.439,19,Decreasing
2019-09-01,90,76,54,32,101217500,411,355,121.7846665,131,Increasing
2019-09-02,99,84,93,166,48535800,37,335,121.1456666,400,Decreasing
2019-09-03,6,85,81,244,42929500,341,460,120.4578334,22,Increasing
2019-09-04,86,96,61,490,40884700,78,384,119.7006668,463,Increasing
2019-09-05,12,75,77,483,34560700,252,421,118.9666667,12,Increasing
2019-09-06,89,23,20,22,47445700,357,483,118.5250001,98,Decreasing
2019-09-07,66,82,36,414,68501600,151,482,117.8803334,126,Decreasing
2019-09-08,79,49,3,35,128275500,398,145,117.0331668,442,Decreasing
2019-09-09,24,6,37,189,162206300,272,295,115.9568336,194,Increasing
2019-09-10,65,14,81,299,103601600,376,151,115.0986668,3,Decreasing
2019-09-11,50,94,42,324,96774600,411,170,114.363167,180,Increasing
2019-09-12,7,94,56,62,84616100,315,444,113.8553335,500,Increasing
2019-09-13,67,62,31,389,53164400,298,35,113.4101667,490,Increasing
2019-09-14,74,96,74,223,56229300,32,341,113.0895001,357,Increasing
2019-09-15,64,58,30,195,76845900,128,307,112.7790001,423,Decreasing
2019-09-16,72,95,34,344,61888800,498,361,112.5934999,176,Increasing
2019-09-17,53,71,74,65,53233900,157,148,112.3841666,359,Decreasing
2019-09-18,56,51,2,442,49996300,269,313,112.0835,222,Increasing
2019-09-19,43,13,52,73,54843600,265,352,111.7326666,313,Increasing
2019-09-20,90,21,42,190,85010800,435,176,111.5483332,300,Decreasing
2019-09-21,24,52,66,204,62892800,317,128,111.4726667,68,Increasing
2019-09-22,84,61,81,88,49915500,170,143,111.3741666,141,Increasing
2019-09-23,69,10,59,154,58363400,39,284,111.3871666,183,Decreasing
2019-09-24,32,20,67,402,43341200,403,255,111.3358331,489,Increasing
2019-09-25,41,24,53,79,37173500,191,345,111.3098331,362,Increasing
2019-09-26,88,86,37,394,64112600,182,125,111.2751664,394,Decreasing
2019-09-27,87,84,23,350,74285300,109,126,111.2916665,87,Increasing
2019-09-28,34,65,81,122,50222000,393,391,111.6404998,125,Increasing
2019-09-29,61,10,5,120,50346200,88,98,112.2434997,125,Increasing
2019-09-30,87,74,89,470,35756700,463,161,112.6433331,432,Increasing
2019-10-01,70,41,32,287,50219500,91,283,112.9473331,318,Increasing
2019-10-02,63,91,56,443,56151900,427,375,113.1013332,335,Decreasing
2019-10-03,93,52,18,165,52109000,316,385,113.1231666,242,Decreasing
2019-10-04,40,51,44,168,73365400,71,464,112.9754999,486,Decreasing
2019-10-05,72,62,49,52,66473000,162,216,113.0356667,101,Increasing
2019-10-06,60,100,22,116,63929100,359,172,112.9140003,400,Increasing
2019-10-07,63,4,80,33,58019800,107,459,112.843167,165,Increasing
2019-10-08,94,21,55,458,52064700,344,241,112.8930004,447,Increasing
2019-10-09,7,10,47,229,48196800,15,476,112.8535003,144,Increasing
2019-10-10,41,89,89,73,46765600,122,228,112.8205004,60,Decreasing
2019-10-11,29,97,62,205,61979600,14,3,112.6896671,92,Decreasing
2019-10-12,3,100,97,207,52766100,338,446,112.5848337,456,Increasing
2019-10-13,15,37,42,31,30467200,252,406,112.3970004,292,Decreasing
2019-10-14,30,77,48,496,33049300,486,98,112.1918338,1,Increasing
2019-10-15,62,57,42,10,44462400,12,475,111.9068336,355,Decreasing
2019-10-16,73,44,32,353,37673500,185,76,111.7455003,457,Increasing
2019-10-17,91,94,68,417,39232600,296,473,111.6446669,351,Decreasing
2019-10-18,65,88,35,444,29759200,78,394,111.4671668,7,Increasing
2019-10-19,38,24,42,425,48778800,17,439,111.4448334,66,Increasing
2019-10-20,61,70,67,190,41795200,313,67,111.4565001,299,Decreasing
2019-10-21,26,93,96,471,41654100,23,18,111.4936666,143,Increasing
2019-10-22,61,71,54,442,59366900,344,212,111.6473335,299,Increasing
2019-10-23,55,2,59,321,66333800,8,196,111.7953333,416,Decreasing
2019-10-24,10,33,40,419,69884400,466,75,112.0395,195,Decreasing
2019-10-25,75,56,87,426,85551400,240,207,112.4404998,356,Increasing
2019-10-26,90,43,26,125,51227300,435,438,112.9901664,162,Increasing
2019-10-27,99,56,74,415,49365300,44,498,113.5106663,280,Decreasing
2019-10-28,21,57,1,137,32203300,18,427,114.0261663,256,Increasing
2019-10-29,20,44,53,74,45519000,23,290,114.591833,259,Increasing
2019-10-30,86,6,42,353,44886100,271,268,115.1831664,184,Decreasing
2019-10-31,41,84,25,48,39552700,335,315,115.7813331,264,Decreasing
2019-11-01,45,11,35,377,33042300,287,264,116.2746664,500,Decreasing
2019-11-02,4,59,69,276,33871400,32,345,116.7186664,355,Decreasing
2019-11-03,21,18,93,276,59127900,154,256,116.9849997,355,Decreasing
2019-11-04,69,29,15,259,45218000,50,82,117.2758331,347,Decreasing
2019-11-05,70,64,72,264,32525600,176,114,117.5048332,273,Decreasing
2019-11-06,54,73,39,23,45812400,349,61,117.6149997,25,Decreasing
2019-11-07,50,41,20,49,38106700,257,461,117.7121663,337,Increasing
2019-11-08,87,67,51,332,27616900,318,211,117.7671665,85,Decreasing
2019-11-09,27,57,65,39,46674700,64,305,117.8878331,73,Increasing
2019-11-10,26,44,13,74,43295800,203,295,118.0576665,22,Increasing
2019-11-11,50,53,13,476,34287100,149,309,118.114833,467,Increasing
2019-11-12,22,40,20,168,32482500,35,218,118.2229998,461,Decreasing
2019-11-13,37,66,51,476,42803200,180,15,118.3941664,366,Increasing
2019-11-14,6,78,8,343,21388300,485,469,118.4033331,243,Decreasing
2019-11-15,55,16,32,115,13046400,7,100,118.3088331,317,Decreasing
2019-11-16,85,37,38,354,39180300,287,52,118.2303333,323,Increasing
2019-11-17,11,82,14,269,34852400,178,64,118.0779998,7,Decreasing
2019-11-18,18,60,3,302,33386600,412,249,117.8064999,144,Decreasing
2019-11-19,16,24,11,459,41569500,106,323,117.4526665,364,Decreasing
2019-11-20,92,87,12,261,57777000,167,100,117.2793332,293,Increasing
2019-11-21,66,53,16,134,32084200,236,45,117.1536665,429,Decreasing
2019-11-22,96,5,100,226,34309500,428,383,117.0079999,441,Increasing
2019-11-23,59,93,20,314,46361400,121,204,116.9661667,495,Decreasing
2019-11-24,76,27,3,72,29104200,296,465,116.9641668,339,Increasing
2019-11-25,92,97,52,2,46886200,454,207,116.8513334,350,Decreasing
2019-11-26,33,35,28,28,64318700,136,175,116.7641669,191,Increasing
2019-11-27,11,64,94,464,53323100,246,239,116.6678336,434,Decreasing
2019-11-28,75,57,29,130,56238500,393,143,116.5023334,151,Increasing
2019-11-29,93,40,23,105,44772800,467,446,116.1678335,323,Decreasing
2019-11-30,38,90,47,320,96453300,28,99,115.6023334,111,Decreasing
2019-12-01,86,9,34,209,47590600,87,49,114.9723335,26,Increasing
2019-12-02,69,80,64,288,32789400,139,454,114.4153336,434,Decreasing
2019-12-03,21,81,5,132,32657400,453,269,113.9038335,395,Increasing
2019-12-04,38,89,92,152,13570400,39,366,113.4005001,303,Decreasing
2019-12-05,46,47,7,60,26704200,404,460,112.8483335,172,Decreasing
2019-12-06,20,98,67,67,30931200,115,240,112.3411667,102,Increasing
2019-12-07,91,11,99,215,25213800,56,123,111.8443334,462,Decreasing
2019-12-08,21,83,36,474,40635300,492,15,111.2883334,136,Decreasing
2019-12-09,74,65,3,197,67649400,126,427,110.7301667,105,Increasing
2019-12-10,59,42,15,161,55791000,444,365,110.0231668,97,Decreasing
2019-12-11,42,45,17,459,68457400,79,103,109.1396668,114,Increasing
2019-12-12,56,5,23,469,81094400,250,198,108.1283334,33,Decreasing
2019-12-13,91,54,16,465,70798000,479,59,107.2023333,376,Decreasing
2019-12-14,35,69,72,75,49739400,242,191,106.3074998,301,Decreasing
2019-12-15,37,25,96,285,49154200,171,326,105.6086665,422,Decreasing
2019-12-16,80,57,68,370,62439600,420,148,104.9574998,94,Decreasing
2019-12-17,18,81,76,349,63170100,174,302,104.3258331,250,Increasing
2019-12-18,42,41,82,225,79010000,402,235,103.6269998,257,Increasing
2019-12-19,79,55,30,455,53087700,275,319,102.9703331,371,Decreasing
2019-12-20,46,47,8,335,72334400,449,150,102.4209999,163,Increasing
2019-12-21,48,19,43,366,52161500,185,177,101.9018332,269,Decreasing
2019-12-22,77,41,52,41,65800500,483,448,101.5659998,166,Increasing
2019-12-23,100,86,10,390,51794500,2,492,101.1579999,190,Decreasing
2019-12-24,30,14,37,476,75077000,159,200,100.7239999,463,Increasing
2019-12-25,12,6,26,64,133369700,386,13,100.102333,366,Decreasing
2019-12-26,35,25,32,382,55678800,403,34,99.36849958,472,Increasing
2019-12-27,9,29,48,469,64416500,237,398,98.79899947,23,Increasing
2019-12-28,82,89,42,157,40943500,43,409,98.3228328,243,Decreasing
2019-12-29,7,69,84,471,37357200,367,444,97.8574995,339,Decreasing
2019-12-30,1,32,95,309,45964300,357,135,97.46249942,122,Increasing
2019-12-31,60,2,91,339,46471700,109,318,97.23216607,164,Increasing
2020-01-01,76,42,49,216,46418100,418,24,97.09249945,234,Decreasing
2020-01-02,45,31,57,209,54021400,266,321,96.94116608,246,Increasing
2020-01-03,1,14,36,135,44331200,119,125,96.77333287,29,Increasing
2020-01-04,18,14,47,8,42343600,35,253,96.52716613,108,Decreasing
2020-01-05,21,32,70,68,50074700,358,454,96.27933263,446,Decreasing
2020-01-06,14,52,5,407,40351400,449,73,96.04199933,293,Decreasing
2020-01-07,2,42,80,171,49057900,79,251,96.00699935,271,Increasing
2020-01-08,2,2,31,114,44863200,101,303,96.03483265,179,Increasing
2020-01-09,9,29,58,91,39021000,419,376,96.08216592,126,Decreasing
2020-01-10,41,21,44,342,35374200,150,475,96.07349932,459,Increasing
2020-01-11,67,8,18,158,34280800,355,112,95.88099927,103,Increasing
2020-01-12,70,27,95,189,31942600,85,374,95.64033268,129,Decreasing
2020-01-13,70,44,85,122,36255700,271,41,95.42133268,398,Increasing
2020-01-14,90,94,21,60,27582700,97,140,95.51099957,255,Increasing
2020-01-15,67,43,27,241,28991100,401,331,95.68616642,1,Decreasing
2020-01-16,83,25,45,290,35216300,477,340,95.72850003,132,Decreasing
2020-01-17,47,75,8,279,50407100,423,63,95.89816658,124,Increasing
2020-01-18,33,90,93,420,33169600,235,253,96.17283317,194,Increasing
2020-01-19,39,11,15,42,36955700,85,14,96.44599983,97,Increasing
2020-01-20,26,17,92,464,46055100,325,178,96.76283322,292,Increasing
2020-01-21,78,58,77,263,35828900,383,79,97.11333333,174,Decreasing
2020-01-22,95,80,12,345,31561900,178,175,97.43733338,398,Increasing
2020-01-23,48,87,65,344,27201700,63,90,97.73916675,161,Decreasing
2020-01-24,72,56,46,464,33513600,434,464,98.05316683,327,Decreasing
2020-01-25,23,24,30,259,27408200,397,219,98.47033362,181,Increasing
2020-01-26,45,4,79,90,25076100,372,40,98.89883362,37,Increasing
2020-01-27,62,17,20,71,40067700,11,317,99.32400032,426,Increasing
2020-01-28,23,52,73,344,38303500,4,257,99.73050017,173,Increasing
2020-01-29,11,99,91,28,34420700,228,111,100.1636669,43,Increasing
2020-01-30,12,90,1,48,44205200,340,143,100.6471668,285,Decreasing
2020-01-31,15,83,5,475,35502700,348,468,101.1305003,316,Decreasing
2020-02-01,72,93,36,159,32444400,237,308,101.6885002,213,Increasing
2020-02-02,12,8,83,214,25703500,76,366,102.2435003,379,Decreasing
2020-02-03,89,98,16,400,26133000,402,384,102.7108335,85,Increasing
2020-02-04,28,42,53,346,19411400,109,473,103.1263335,331,Decreasing
2020-02-05,65,67,60,100,31190100,218,467,103.606,110,Increasing
2020-02-06,38,92,30,316,45601100,5,146,104.1036667,209,Increasing
2020-02-07,87,85,22,376,25888400,246,312,104.5451667,272,Decreasing
2020-02-08,1,45,50,170,25874000,54,325,104.954,244,Increasing
2020-02-09,47,54,39,150,37356200,132,371,105.3781666,244,Increasing
2020-02-10,78,29,40,389,26578700,205,307,105.7831665,428,Increasing
2020-02-11,7,65,5,54,26404100,195,346,106.2489998,469,Increasing
2020-02-12,33,16,4,130,31801900,422,200,106.6508331,244,Decreasing
2020-02-13,40,24,30,47,23581700,365,330,107.0348331,168,Decreasing
2020-02-14,63,73,38,225,29407500,249,402,107.4084998,485,Increasing
2020-02-15,56,50,83,256,27232300,141,54,107.7816666,266,Increasing
2020-02-16,27,35,78,492,33257300,107,199,108.1411666,133,Increasing
2020-02-17,28,4,56,164,25473900,459,188,108.457,336,Increasing
2020-02-18,80,29,89,66,46939000,125,162,108.7011666,38,Decreasing
2020-02-19,10,96,27,316,60834000,320,143,108.7971667,273,Decreasing
2020-02-20,54,57,45,23,32384900,89,26,108.8378334,10,Decreasing
2020-02-21,23,63,18,492,30611000,465,183,108.8721665,412,Increasing
2020-02-22,23,38,65,217,31552500,488,476,108.8608332,236,Decreasing
2020-02-23,86,32,11,424,33683100,12,207,108.8603333,27,Increasing
2020-02-24,8,33,61,68,28031600,334,200,108.8403334,341,Increasing
2020-02-25,17,89,25,199,56016200,273,297,108.7271669,151,Increasing
2020-02-26,94,71,34,372,114602100,209,406,108.1210003,163,Increasing
2020-02-27,38,76,76,162,82242700,327,294,107.4408336,403,Decreasing
2020-02-28,71,46,4,474,68531500,311,170,106.6538337,45,Decreasing
2020-02-29,41,68,9,16,48160100,347,148,105.7628338,416,Decreasing
2020-03-01,56,19,47,104,56831300,319,349,105.0068337,370,Increasing
2020-03-02,19,74,18,378,41025500,70,370,104.2196672,500,Decreasing
2020-03-03,64,63,29,5,35890500,324,448,103.4348338,128,Decreasing
2020-03-04,85,52,4,400,43458200,91,476,102.625167,384,Decreasing
2020-03-05,37,36,72,108,32936400,488,206,101.8033336,223,Decreasing
2020-03-06,44,33,99,172,33686800,288,178,100.9616668,105,Increasing
2020-03-07,95,74,29,487,28719100,142,150,100.0176668,90,Decreasing
2020-03-08,96,94,91,209,76314700,102,4,98.96383345,106,Decreasing
2020-03-09,52,50,52,111,44392800,47,226,97.96899997,457,Increasing
2020-03-10,81,3,25,447,61259800,52,44,97.24483323,106,Increasing
2020-03-11,20,67,73,500,46916900,374,195,96.5791664,205,Decreasing
2020-03-12,3,98,95,217,42062400,223,212,95.95216648,489,Increasing
2020-03-13,56,90,35,347,30442100,344,372,95.35199978,425,Decreasing
2020-03-14,25,39,73,145,32026000,384,30,94.82516632,113,Increasing
2020-03-15,92,27,67,139,38018600,319,491,94.39266622,337,Increasing
2020-03-16,20,71,63,438,35140200,267,232,94.04716603,223,Increasing
2020-03-17,65,29,11,29,38168800,466,266,94.13483275,51,Increasing
2020-03-18,33,98,75,473,56331200,253,62,94.34849953,178,Increasing
2020-03-19,88,47,3,214,36229500,8,134,94.66683283,65,Increasing
2020-03-20,21,49,16,5,42307200,282,72,94.98283283,403,Increasing
2020-03-21,39,23,88,402,29173300,388,480,95.1783329,129,Decreasing
2020-03-22,5,56,49,416,40191600,213,153,95.31633273,291,Increasing
2020-03-23,93,94,14,322,28062900,244,53,95.54383263,6,Increasing
2020-03-24,38,80,46,216,23292500,290,77,95.87799935,488,Increasing
2020-03-25,14,97,18,375,22409500,357,265,96.1898328,465,Decreasing
2020-03-26,76,34,80,227,20848100,493,152,96.49116615,26,Decreasing
2020-03-27,94,48,42,60,26601400,23,256,96.81716612,486,Increasing
2020-03-28,61,62,76,368,31712900,3,349,97.2183329,304,Increasing
2020-03-29,61,4,92,104,38020500,421,243,97.5744996,258,Decreasing
2020-03-30,9,48,94,169,31931900,139,197,97.787333,414,Increasing
2020-03-31,81,19,31,360,29445200,163,250,97.97699975,143,Decreasing
2020-04-01,59,58,50,87,31326800,179,8,98.10549987,82,Increasing
2020-04-02,50,12,23,74,61008200,6,21,98.18666672,363,Decreasing
2020-04-03,14,78,48,60,34411900,264,292,98.2121667,371,Decreasing
2020-04-04,99,65,40,64,35546400,153,109,98.17300007,138,Increasing
2020-04-05,46,99,68,491,29219100,277,162,98.08900017,59,Decreasing
2020-04-06,67,92,83,233,32240200,379,200,97.92516678,345,Increasing
2020-04-07,74,3,85,472,75311400,59,488,97.60733348,179,Increasing
2020-04-08,80,70,57,165,45489600,139,63,97.21600023,303,Decreasing
2020-04-09,1,42,34,402,40444900,328,484,96.8878335,197,Increasing
2020-04-10,49,77,34,185,36531000,384,389,96.65866683,267,Increasing
2020-04-11,70,16,73,199,35836400,337,448,96.55000023,469,Increasing
2020-04-12,35,11,4,172,26026500,2,112,96.45083373,163,Increasing
2020-04-13,63,65,5,181,27705200,300,157,96.2305004,281,Decreasing
2020-04-14,17,47,48,475,30949100,356,246,96.02550048,408,Increasing
2020-04-15,10,57,75,393,25139600,193,148,95.87350057,77,Increasing
2020-04-16,35,16,96,276,28912100,327,230,95.73216728,202,Increasing
2020-04-17,85,62,38,70,23794900,369,472,95.64383403,306,Increasing
2020-04-18,70,78,71,470,24167500,355,145,95.62183405,482,Increasing
2020-04-19,17,52,70,337,25892200,183,110,95.60000063,185,Decreasing
2020-04-20,54,42,50,485,38919000,315,235,95.64200058,313,Increasing
2020-04-21,86,4,52,120,30137000,449,199,95.7288339,463,Decreasing
2020-04-22,66,50,13,266,36493900,385,29,95.91683373,220,Increasing
2020-04-23,71,35,56,343,23779900,363,351,96.12533377,216,Increasing
2020-04-24,23,73,47,138,26276000,290,374,96.345667,103,Decreasing
2020-04-25,30,33,73,334,32702000,275,85,96.54183362,491,Decreasing
2020-04-26,96,4,92,236,28313700,432,477,96.68566705,130,Decreasing
2020-04-27,40,79,1,66,40382900,356,420,96.89216675,488,Decreasing
2020-04-28,4,77,99,121,56239800,134,41,97.1333333,198,Decreasing
2020-04-29,80,14,70,403,92344800,248,482,97.64433323,198,Decreasing
2020-04-30,24,72,47,453,39869800,327,433,98.12816642,142,Increasing
2020-05-01,51,81,61,137,27733700,338,124,98.57433315,418,Increasing
2020-05-02,67,4,45,234,38167900,356,277,99.05633327,386,Increasing
2020-05-03,50,86,47,202,33816600,70,204,99.55133333,457,Decreasing
2020-05-04,97,36,79,13,30202600,395,62,100.0653331,305,Increasing
2020-05-05,58,52,3,139,27408700,260,333,100.5501664,164,Increasing
2020-05-06,14,100,78,206,40553400,268,149,101.0783331,137,Increasing
2020-05-07,43,89,58,160,28037200,83,134,101.6206665,155,Increasing
2020-05-08,68,67,30,83,26315200,401,423,102.1793332,194,Increasing
2020-05-09,39,37,46,135,24008500,29,381,102.734,349,Decreasing
2020-05-10,97,13,1,253,27484500,443,156,103.2275,30,Decreasing
2020-05-11,73,60,81,35,18660400,190,271,103.6911667,244,Increasing
2020-05-12,96,49,21,31,25868200,221,256,104.1668335,495,Increasing
2020-05-13,47,70,63,428,33794400,388,242,104.6603335,397,Decreasing
2020-05-14,12,56,8,57,25356000,178,81,105.1065002,131,Increasing
2020-05-15,38,81,48,109,21984700,225,407,105.5755002,297,Decreasing
